Trends,Search volume,Started,LLM summary,Related US stock,News sentiment score
salad,10K+,"July 16, 2026 at 4:10:00 PM UTC+8",「salad」搜尋量激增，主因是環孢子蟲（cyclospora）疫情爆發，與沙拉等生鮮葉菜類食品有關。紐約民眾擔憂「腹瀉沙拉」，紛紛改吃熟食以降低感染風險；CNN與Dallas Observer也報導公眾對沙拉的恐慌情緒及科學家對相關症狀的解說。疫情引發廣泛關注，促使搜尋量大幅上升。目前來源資訊有限，尚未明確指出具體污染來源或涉及品牌。,,3
swimming,5K+,"July 16, 2026 at 4:10:00 PM UTC+8",「swimming」搜尋量上升主要與多則游泳相關新聞有關。德克薩斯大學奪得2026年SEC男子與女子游泳及跳水錦標賽冠軍，引發關注；伊利諾州立大學宣布新任游泳助理教練與跳水教練人事任命；另有媒體探討South Watuppa水域的游泳安全隱患。夏季期間民眾對水上活動安全與大學體育賽事結果的關注，可能共同促使搜尋熱度增加。,,6
events,5K+,"July 16, 2026 at 4:00:00 PM UTC+8",「events」一詞於2026年7月16日成為熱搜，但所提供的新聞來源內容相當有限且分散，包含史密森尼博物館活動公告、羅徹斯特理工學院數學建模研討會，以及夏洛特市因週末活動實施臨時公車改道。這些來源均僅有標題與簡短摘要，缺乏詳細內容，無法判斷是否有單一重大事件驅動搜尋量上升。推測搜尋熱度可能與多項夏季活動集中舉辦有關，但資訊不完整，存在不確定性。整體而言，目前無法確認具體的主導事件或關聯實體。,,5
games,5K+,"July 16, 2026 at 4:00:00 PM UTC+8",「games」成為熱搜關鍵字，主因是2026年FIFA世界盃於7月15日有多場賽事進行。Yahoo Sports與Mashable均提供當日賽程、開賽時間及免費直播資訊，吸引大量球迷搜尋觀賽管道。同時，《紐約時報》旗下The Athletic報導阿根廷隊在僅剩兩場比賽時力拼排名榜首，進一步推升話題熱度。世界盃為全球最大體育盛事之一，賽程密集期間搜尋量自然大幅增加。,,6
maps,5K+,"July 16, 2026 at 4:00:00 PM UTC+8",近期「maps」搜尋量激增主因有二：一是新地圖顯示 Bears Ears 與 Grand Staircase-Escalante 國家紀念碑遭前所未有的面積縮減，引發環保關注，Backpacker Magazine 與 Salt Lake Tribune 均報導此事；二是 Apple 宣布即將推出的 Maps 廣告將禁止家庭服務類廣告。兩則新聞均於7月15日發布，共同推升搜尋熱度。,AAPL,4
movies,5K+,"July 16, 2026 at 4:00:00 PM UTC+8",「movies」於2026年7月16日成為搜尋熱門，主要原因為多家媒體（Deadline、Axios）同步發布克里斯多福·諾蘭（Christopher Nolan）電影排行榜與串流平台觀看指南，引發大量影迷關注與搜尋。此外，《好萊塢報導》刊載一篇從業15年的電影人分享其不情願轉向AI製片的經歷，也帶動電影產業與AI議題討論。整體以電影推薦與產業趨勢為主，搜尋量上升與諾蘭相關排行榜集中曝光密切相關。,,6
news,5K+,"July 16, 2026 at 4:00:00 PM UTC+8",「news」趨勢搜尋量激增，主因美國擴大對伊朗北部的空襲並封鎖船隻、世衛關注麻疹疫情，及川普終止暫停ICE交通攔截。這些涉及軍事衝突、公衛危機與移民政策的突發事件引發高度關注，促使民眾上網搜尋最新動態。,,2
sports,5K+,"July 16, 2026 at 4:00:00 PM UTC+8",「sports」趨勢飆升主因是2026年FIFA世界盃進入淘汰賽階段，Yahoo Sports提供即時比分與賽程更新，吸引大量搜尋。同時，ESPYS 2026頒獎典禮公布最佳女子運動員候選人數據（ESPN報導），以及FOX Sports報導Jameis Winston出現在世界盃現場的消息，均進一步推升體育話題熱度。搜尋量增長 likely 反映球迷對淘汰賽結果與頒獎季的高度關注。值得注意的是，三篇新聞均僅提供標題與摘要，缺乏詳細內容，具體賽果與候選名單無法確認。,,7
time,5K+,"July 16, 2026 at 4:00:00 PM UTC+8",美國眾議院於2026年7月16日通過法案，推動將夏令時間（日光節約時間）永久化，取消每年兩次調鐘。PBS、NBC News及KCCI等媒體均報導此事件，KCCI並探討對愛荷華州居民的具體影響。「time」搜尋量激增，主因是民眾關注此立法進展及其對日常作息的潛在改變。目前法案細節及參議院後續動作尚不明確。,,5
hal williams,5K+,"July 16, 2026 at 1:20:00 PM UTC+8",美國資深演員Hal Williams於2026年7月16日辭世，享壽91歲。他曾演出經典影集《Sanford and Son》及《227》，深受觀眾喜愛。Variety、Deadline及TMZ等多家媒體均報導此消息，引發大量搜尋關注。他的離世令影迷不捨，搜尋熱度隨之上升。,,3
