Trends,Search volume,Started,LLM summary,Related US stock,News sentiment score
argentina vs spain,1M+,"July 16, 2026 at 3:30:00 AM UTC+8",2026年世界盃足球賽決賽即將由西班牙對陣阿根廷，多家媒體包括紐約時報、USA Today及Sportico均發布賽事預測與分析，引發大量搜尋關注。此為世界足壇兩大強隊的巔峰對決，球迷熱議冠軍歸屬及金球獎、金靴獎人選，帶動搜尋量突破百萬。,,7
air quality,500K+,"July 15, 2026 at 5:50:00 PM UTC+8",空氣品質成為熱門搜尋話題，因紐約州、匹茲堡及明尼蘇達州同日發布空氣品質警報。紐約州環保廳發布全州健康警告；匹茲堡因野火煙塵進入紅色警戒；明尼蘇達州因野火與熱穹效應實施3天空污警報。多州同時受野火煙害與高溫影響，促使民眾大量搜尋相關資訊，關注健康風險。,,3
world cup game,200K+,"July 16, 2026 at 3:30:00 AM UTC+8",2026年世界盃進入尾聲階段，英格蘭在準決賽不敵阿根廷後，將與法國進行季軍戰，引發大量搜尋關注。Harry Kane賽後表示尚無法確定這是否為其最後一場世界盃賽事，進一步推升話題熱度。7月15日的賽程與轉播資訊也成為球迷搜尋焦點。由於新聞來源僅提供標題與摘要，部分賽事細節尚無法確認。,,5
inglaterra - argentina,200K+,"July 16, 2026 at 2:10:00 AM UTC+8",2026年世界盃半決賽中，英格蘭對陣阿根廷，這場比賽因兩國歷史與體育宿敵關係備受關注。阿根廷在梅西帶領下以2-1逆轉英格蘭，成功晉級世界盃決賽。梅西、恩佐及羅梅羅等球員在逆轉中表現關鍵。搜尋熱度飆升的原因包括英阿大戰的歷史意義、梅西的巨星效應以及阿根廷戲劇性逆轉晉級決賽的重大體育事件。,,7
the odyssey,200K+,"July 16, 2026 at 12:50:00 AM UTC+8",克里斯多福·諾蘭執導的電影《The Odyssey》於2026年7月中旬引發熱議，多家媒體包括《洛杉磯時報》與Refinery29同步發布影評。《洛杉磯時報》形容該片為「他主題執唸的強大特洛伊木馬」，評價正面；Refinery29則以「史詩」稱之，討論其是否值得觀看。搜尋量在7月16日飆升至20萬以上，主因可能是影評解禁引發公眾對這部諾蘭新作的高度關注與討論。,,7
valkyries vs fever,100K+,"July 16, 2026 at 7:10:00 AM UTC+8",WNBA金州女武神隊（Valkyries）擊敗印第安納狂熱隊（Fever），將連勝延續至八場。狂熱隊因球星Caitlin Clark而備受關注，此場對決引發大量搜尋。多個媒體如USA Today、Yahoo Sports及紐約時報均報導賽事亮點與收看資訊，進一步推升話題熱度。,,7
spain vs argentina,100K+,"July 16, 2026 at 3:50:00 AM UTC+8",西班牙與阿根廷成功會師2026世界盃決賽，引發全球高度關注與搜尋熱潮。本場比賽最大亮點為西班牙新星拉明·亞馬爾對決阿根廷傳奇球星萊昂內爾·梅西，多家媒體如FOX Sports與紐約時報紛紛發布賽事預測與分析。隨著決賽即將到來，球迷對於冠軍歸屬及金球獎、金靴獎得主充滿期待，進一步推升了相關話題的網路搜尋量。,,8
what time is the world cup game today,100K+,"July 15, 2026 at 7:40:00 PM UTC+8",2026年FIFA世界盃半決賽於7月15日舉行，大量球迷搜尋比賽時間與轉播資訊。根據Yahoo Sports報導，阿根廷在比賽末段連進兩球，爆冷擊敗英格蘭，連續兩屆闖入世界盃決賽。FOX Sports與Mashable則提供了當日賽程、開球時間及直播資訊。半決賽的高關注度與阿根廷戲劇性逆轉勝利，推動了搜尋量急劇上升。,,7
wordle today,100K+,"July 15, 2026 at 6:00:00 PM UTC+8",「wordle today」搜尋量激增，主要因玩家積極尋求7月15日與16日Wordle第1853題的提示與解答。Mashable、CNET及Forbes等媒體皆發布了相關攻略，以滿足全球玩家每日解謎的需求。這顯示了Wordle作為一款日常解謎遊戲，依然維持著穩定且龐大的使用者參與度，屬於例行性的熱門搜尋趨勢。,,6
roger rogoff trump administration dismissal,50K+,"July 16, 2026 at 7:40:00 AM UTC+8",川普政府在2026年7月16日解僱了剛任命的美國華盛頓州西雅圖地區聯邦檢察官Roger Rogoff，據報導其宣誓就職後不到一小時即被撤職。多家媒體包括紐約時報、KOMO及FOX 13 Seattle均報導此事。此一罕見且戲劇性的人事變動引發大量關注，搜尋量迅速攀升。具體解僱原因在現有資料中尚未明確說明。,,3
messi yamal baby,50K+,"July 16, 2026 at 5:00:00 AM UTC+8","```json
{
  ""llm_summary"": ""世界盃即將迎來阿根廷對西班牙的對決，媒體翻出2007年梅西曾為當",,
youtube tv,50K+,"July 16, 2026 at 3:00:00 AM UTC+8",YouTube TV近期宣布擴充頻道陣容，悄悄新增熱門頻道以吸引更多訂戶，引發用戶關注與討論。同時，印第安納狂熱隊對陣金州女武神隊的WNBA比賽即將登場，Caitlin Clark的出賽帶動大量球迷搜尋觀看方式，YouTube TV作為轉播管道之一亦受帶動。頻道擴展消息與體育賽事觀看需求雙重因素，共同推升了YouTube TV的搜尋熱度。,,7
product recall,50K+,"July 15, 2026 at 7:40:00 PM UTC+8",「產品召回」搜尋量激增，主因為沃爾瑪宣布全美召回一款熱銷嬰兒用品，因存在受傷風險。同時，亞利桑那共和報報導目前市場上有多達6項商品正在被召回，提醒消費者購物時留意避開。ABC News亦發布召回相關綜合報導。多起召回事件同時發生，尤其是涉及嬰幼兒安全的全國性召回，引發公眾高度關注與搜尋行為。由於 supplied sources 未能提供沃爾瑪召回商品的具體名稱及細節，部分資訊尚不完整。,WMT,3
jason collins,20K+,"July 16, 2026 at 10:20:00 AM UTC+8",已故NBA球員Jason Collins在2026年ESPYS頒獎典禮上獲頒Arthur Ashe勇氣獎，由其雙胞胎兄弟代為發表感人致辭。Collins於兩個月前去世，此次追頒引發廣泛關注。搜尋熱度急升的原因在於ESPYS典禮剛舉行，加上其兄弟的動人演說及近期離世的悲痛，使大眾紛紛搜尋相關消息以表哀悼與致敬。ESPN、USA Today及People.com均報導此事。,,6
robert pattinson,20K+,"July 16, 2026 at 10:10:00 AM UTC+8",羅勃派汀森（Robert Pattinson）成為搜尋熱門話題，主因是導演麥特李維斯（Matt Reeves）公開了《蝙蝠俠2》（The Batman Part II）中派汀森的首張劇照，引發粉絲高度關注。然而，SYFY報導指出該片已延後至2028年上映，此一消息可能進一步推升了搜尋量。此外，同日亦有克里斯多福諾蘭執導的《奧德賽》影評發布，但與派汀森趨勢的直接關聯較低。整體而言，首度曝光的造型照與上映延期的雙重消息共同帶動了討論熱度。,,5
chloe kim,20K+,"July 16, 2026 at 9:30:00 AM UTC+8",奧運單板滑雪金牌選手Chloe Kim與NFL球星Myles Garrett的戀情成為焦點，兩人在2026年ESPY頒獎典禮上公開放閃。Chloe Kim擔任頒獎人，將「最佳破紀錄表現獎」頒給男友Garrett，兩人在台上親吻，引發媒體與網友熱議，帶動搜尋量大幅上升。此事件展現了體育與名人戀情的高度關注度。,,8
indiana fever,20K+,"July 16, 2026 at 8:00:00 AM UTC+8",印第安納狂熱隊於7月16日在主場Gainbridge Fieldhouse迎戰金州女武神隊，最終遭受敗績。由於明星球員Caitlin Clark的表現受到高度關注，多家媒體即時報導其得分與數據統計，引發球迷大量搜尋賽事回顧與Clark個人表現資訊，使「Indiana Fever」搜尋量急劇上升。比賽結果與Clark的數據成為本次趨勢的主要驅動因素。,,4
hannah waddingham,20K+,"July 16, 2026 at 7:30:00 AM UTC+8",漢娜·華丁漢（Hannah Waddingham）因多則娛樂新聞而成為搜尋熱點。首先，她宣布將與傑森·史塔森（Jason Statham）共同主演由大衛·雷奇（David Leitch）執導的動作喜劇《Jason Statham Stole My Bike》。同時，她與奧塔薇亞·斯賓瑟（Octavia Spencer）主演的亞馬遜動作喜劇《Ride or Die》也獲得影評關注，IndieWire評論稱兩位演員為這部電影增添亮點。這些新片消息與影評同時發布，推升了網友對她的搜尋興趣。,AMZN,7
espys 2026,20K+,"July 16, 2026 at 6:00:00 AM UTC+8",2026年ESPY頒獎典禮於7月16日登場，ESPN、ABC News與USA Today等媒體紛紛發布完整得獎名單、精彩亮點及轉播資訊。這項年度體育盛事表彰傑出運動員，引發觀眾熱烈關注。搜尋量激增主要因大眾急於了解各獎項得主及典禮焦點時刻。,,7
espys,20K+,"July 16, 2026 at 5:50:00 AM UTC+8",2026年ESPY頒獎典禮於7月16日舉行，引發搜尋熱潮。根據ABC News、NBA.com及ESPN報導，本屆得獎名單包括NBA球星Jalen Brunson與WNBA球星A'ja Wilson等人。民眾關注如何觀看直播及完整得獎名單，帶動「espys」搜尋量飆升至2萬以上。,,7
malvinas,20K+,"July 16, 2026 at 5:10:00 AM UTC+8",阿根廷國家足球隊在世界盃擊敗英格蘭後，球員高舉印有「馬爾維納斯群島屬於阿根廷」的福克蘭群島旗幟慶祝，引發政治與體育爭議。此舉可能導致阿根廷面臨 FIFA 的紀律處分。由於比賽涉及英阿兩國長期的福克蘭群島主權爭議，加上世界盃賽事的高關注度，使得「Malvinas」搜尋量急劇上升。,,4
england vs france,20K+,"July 16, 2026 at 5:00:00 AM UTC+8",2026世界盃季軍戰由英格蘭對陣法國，比賽將在邁阿密舉行，為該城市本屆世界盃的最後一場賽事。多家媒體報導賽事資訊，FOX Sports指出法國在賠率上略被看好，USA Today則提供購票指南。搜尋熱度上升主要因季軍戰即將開打，球迷關注賽程、賠率與門票資訊。,,6
france vs england,20K+,"July 16, 2026 at 5:00:00 AM UTC+8",2026年世界盃季軍戰將由法國對決英格蘭，比賽地點在邁阿密。根據多家媒體報導，法國在賠率上被看好勝過英格蘭，專家預測與投注分析引發大量搜尋關注。Yahoo Sports也提供購票資訊，顯示球迷對這場英法大戰的高度興趣。搜尋量激增主要因為季軍戰即將開打，兩支足球強權的對決吸引全球目光。,,6
who won the last world cup,20K+,"July 16, 2026 at 5:00:00 AM UTC+8",2026年7月15日至16日期間，多則新聞聚焦於世界盃冠軍相關話題，搜尋量激增。DAZN報導阿根廷再次晉級FIFA世界盃決賽，引發用戶搜尋「誰贏得了上一屆世界盃」的熱潮。newscentermaine與Yahoo Sports也分別發布世界盃冠軍回顧文章。2022年世界盃由阿根廷奪冠，而2026年世界盃由美國、加拿大及墨西哥合辦，阿根廷似再度闖入決賽，推高了民眾對歷屆冠軍資訊的關注。由於來源僅含標題與摘要，無法確認2026年最終賽果。,,6
golden boot race 2026,20K+,"July 16, 2026 at 4:50:00 AM UTC+8",2026年世界盃金靴獎競爭白熱化，梅西在準決賽中貢獻兩次助攻後，於進球榜上超越姆巴佩。根據Yahoo Sports、FOX Sports及The Athletic報導，目前金靴獎之爭主要聚焦於梅西、姆巴佩及凱恩三人。世界盃進入準決賽階段，頂尖射手間的激烈競爭引發球迷高度關注，推升搜尋熱度。,,6
messi wife,20K+,"July 16, 2026 at 4:50:00 AM UTC+8",搜尋量激增與2026世界盃期間阿根廷隊重要勝利有關。ELLE、USA Today與Sports Illustrated等多家媒體同步報導梅西妻子Antonela Roccuzzo在賽事中的支持角色，包括她穿著阿根廷主題服裝現身觀戰，引發大眾對其背景與形象的關注。由於來源僅提供標題與摘要，缺乏完整正文，具體賽事細節與日期無法完全確認。,,8
faa reagan national airport ground stop,20K+,"July 16, 2026 at 4:40:00 AM UTC+8",FAA因「VIP」安全理由對雷根國家機場（Reagan National Airport）發布地面停飛令，導致該機場成為全球航班取消最多的機場。隨後地面停飛令已解除，但航班延誤仍持續。此事件引發大量搜尋關注，主要因航班大規模取消與延誤影響眾多旅客。此外，FAA亦在審查該機場附近擬建的Sphere場館提案，但與停飛事件無直接關聯。,,3
testosterone,20K+,"July 16, 2026 at 4:40:00 AM UTC+8",美國國防部長赫格塞斯（Pete Hegseth）宣布新政策，將對美軍部隊進行睪固酮篩檢，並為低下者提供荷爾蒙替代療法。此消息由PBS、路透社及The Atlantic等媒體報導，引發廣泛關注，導致「testosterone」搜尋量激增。公眾關注的重點在於軍方醫療政策變更及其對部隊戰備與健康的潛在影響。由於來源僅提供標題與摘要，政策細節尚不明確。,,5
