Trends,Search volume,Started,LLM summary,Related US stock,News sentiment score
spain vs argentina,1M+,"July 16, 2026 at 3:50:00 AM UTC+8",2026年世界盃足球賽決賽確定由西班牙對戰阿根廷，引發全球關注與搜尋熱潮。各大媒體焦點集中於西班牙新星Lamine Yamal與阿根廷名將Lionel Messi的對決，被視為世代交替的焦點之戰。紐約時報等媒體亦發布冠軍預測及金球獎、金靴獎人選分析，進一步推升話題熱度。決賽對戰組合確定後，搜尋量隨即飆升。,,8
air quality,500K+,"July 15, 2026 at 5:50:00 PM UTC+8",「空氣品質」搜尋量激增，主因是美國多州受野火煙霧與熱穹影響而發布警報。明尼蘇達州野火與熱穹現象導致當地發布為期三天的空氣品質警報，底特律都會區也因野火煙霧出現「不健康」的空氣品質。同時，紐約州環境保護部亦發布全州空氣品質健康諮詢。多地空氣品質惡化且達危害等級，引發民眾高度關注，進而帶動搜尋熱度大幅上升。,,3
world cup game,200K+,"July 16, 2026 at 3:30:00 AM UTC+8",2026年FIFA世界盃正進入尾聲階段，英格蘭與法國將進行季軍戰，引發大量搜尋關注。Mashable與FOX Sports等媒體提供了7月15日的賽程、開球時間及直播資訊，紐約時報則報導了季軍戰的背景。由於世界盃進入關鍵比賽階段，球迷積極查詢比賽時間與觀看方式，推高了搜尋量。,"FOXA,FOX",7
inglaterra - argentina,200K+,"July 16, 2026 at 2:10:00 AM UTC+8",2026世界盃半決賽中，英格蘭對陣阿根廷，阿根廷在落後情況下以2-1逆轉勝，晉級世界盃決賽。梅西、恩佐（Enzo）及羅梅羅（Romero）在比賽中表現出色，帶領球隊逆轉。《紐約時報》指出，對阿根廷而言，對英格蘭的半決賽不僅僅是足球比賽，背後有歷史與政治意涵。英阿兩國長期的足球與歷史宿怨，加上梅西的明星效應與戲劇性逆轉，推動了搜尋熱量的大幅上升。,,7
the odyssey,200K+,"July 16, 2026 at 12:50:00 AM UTC+8",克里斯多福·諾蘭執導的電影《The Odyssey》於2026年7月16日前後上映，多家媒體包括USA Today、Plugged In及Refinery29紛紛發表影評，USA Today更稱其為「大膽且殘酷的傑作」。大量影評集中發布引發搜尋熱潮，搜尋量突破20萬次。電影口碑正面，帶動觀眾高度關注與討論。,,8
valkyries vs fever,100K+,"July 16, 2026 at 7:10:00 AM UTC+8",WNBA金州女武神隊（Valkyries）擊敗印第安納狂熱隊（Fever），將連勝紀錄延長至八場，引發高度關注。狂熱隊球星Caitlin Clark的參與大幅推升比賽收視與搜尋熱度，多家媒體如USA Today、Yahoo Sports及紐約時報均報導賽事亮點與轉播資訊。搜尋量激增主因是Clark的高人氣以及女武神隊連勝話題的雙重帶動。,,7
what time is the world cup game today,100K+,"July 15, 2026 at 7:40:00 PM UTC+8",2026年7月15日的FIFA世界盃第二場半決賽引發大量網路搜尋。球迷急於獲取當日比賽的開踢時間、轉播頻道與直播資訊，促使該關鍵字成為熱門趨勢。FOX Sports與Yahoo Sports等媒體皆發布了相關賽程指南，反映出全球觀眾對此場「最終四強」賽事的高度關注與期待。,,6
wordle today,100K+,"July 15, 2026 at 6:00:00 PM UTC+8",「wordle today」搜尋量飆升，主因是每日Wordle益智遊戲第1853題於2026年7月15日至16日推出，玩家習慣性搜尋提示與答案。Mashable、CNET及Forbes等媒體均發布當日解答與攻略文章，進一步推高搜尋熱度。此為每日固定高峰現象，反映Wordle持續的高人氣與玩家社群的日常參與。搜尋量達10萬以上，顯示遊戲仍具廣泛吸引力。所提供來源僅含標題與摘要，缺乏具體答案內容，無法確認更多細節。,,6
roger rogoff trump administration dismissal,50K+,"July 16, 2026 at 7:40:00 AM UTC+8",川普政府在2026年7月16日解僱了西雅圖新任聯邦檢察官Roger Rogoff，距離他就職宣誓不到一小時。根據《紐約時報》、KOMO及New Haven Register等多家媒體報導，Rogoff為法院任命的檢察官，卻在就任後立即遭川普政府撤職，引發高度關注。此一罕見且戲劇性的人事事件，因涉及司法獨立與行政權之爭，導致搜尋量激增至5萬以上。各報導來源細節一致，但具體解僱原因尚未在提供的資料中說明。,,3
espys,50K+,"July 16, 2026 at 5:50:00 AM UTC+8",2026年ESPY頒獎典禮於7月16日舉行，由ABC News、ESPN及USA Today等多家媒體報導，內容涵蓋觀看方式、入圍名單、完整得獎名單以及典禮精彩時刻。ESPY獎旨在表彰體育界傑出運動員與表現，搜尋量激增的原因在於頒獎典禮剛結束，民眾急於查詢得獎者、精華片段及相關亮點。由於提供的來源僅為RSS摘要，未能取得具體得獎者姓名或詳細內容，相關資訊存在不確定性。,,7
